country,confirmed,deaths,recovered,active,population
Afghanistan,39422,1466,32879,5077,38041754
Albania,14410,400,8825,5185,2854191
Algeria,52270,1768,36672,13830,43053054
Andorra,2370,53,1615,702,77142
Angola,5530,199,2591,2740,31825295
Antigua and Barbuda,107,3,96,8,97118
Argentina,809728,21468,649017,139243,44938712
Armenia,52677,984,44710,6983,2957731
Australia,27173,895,24892,1386,25364307
Austria,48896,818,39058,9020,8877067
Azerbaijan,40788,598,38587,1603,10023318
Bahamas,4452,96,2375,1981,389482
Bahrain,73116,261,67933,4922,1641172
Bangladesh,370132,5375,283182,81575,163046161
Barbados,200,7,182,11,287025
Belarus,80696,862,75303,4531,9466856
Belgium,132203,10078,19712,102413,11484055
Belize,2196,30,1378,788,390353
Benin,2357,41,1973,343,11801151
Bhutan,299,0,248,51,763092
Bolivia,137107,8129,98007,30971,11513100
Bosnia and Herzegovina,28449,888,22032,5529,3301000
Botswana,3172,16,710,2446,2303697
Brazil,4927235,146675,4397882,382678,211049527
Brunei,146,3,142,1,433285
Bulgaria,21870,854,15179,5837,6975761
Burkina Faso,2184,59,1420,705,20321378
Burundi,514,1,472,41,11530580
Cabo Verde,6433,68,5524,841,549935
Cambodia,280,0,276,4,16486542
Cameroon,20924,420,19764,740,25876380
Canada,171384,9560,144653,17172,37589262
Central African Republic,4845,62,1914,2869,4745185
Chad,1223,86,1075,62,15946876
Chile,471746,13037,443453,15257,18952038
China,90652,4739,85540,373,1397715000
Colombia,862158,26844,766300,69014,50339443
Comoros,487,7,466,14,850886
Congo,15867,363,14126,1378,92171075
Costa Rica,81129,987,49703,30439,5047561
Cote d'Ivoire,19885,120,19490,275,25716544
Croatia,17797,300,16031,1466,4067500
Cuba,5845,123,5232,490,11333483
Cyprus,1847,22,1369,456,1198575
Czech Republic,85566,758,46636,38172,10669709
Denmark,30546,659,23577,6310,5818553
Djibouti,5421,61,5352,8,973560
Dominica,31,0,24,7,71808
Dominican Republic,115054,2144,90942,21968,10738958
Ecuador,141339,11681,120511,9147,17373662
Egypt,103781,5990,97398,393,100388073
El Salvador,29539,865,24406,4268,6453553
Equatorial Guinea,5045,83,4879,83,1355986
Estonia,3617,67,2755,795,1326590
Eswatini,5579,112,5141,326,1148130
Ethiopia,79437,1230,34016,44191,112078730
Fiji,32,2,28,2,889953
Finland,10702,346,8100,2256,5520314
France,664289,32317,100873,531004,67059887
Gabon,8808,54,8135,619,2172579
Gambia,3594,115,2226,1253,2347706
Georgia,8696,54,4619,4023,3720382
Germany,304673,9554,265624,29495,83132799
Ghana,46829,303,46060,466,30417856
Greece,20142,417,1347,18378,10716322
Grenada,24,0,24,0,112003
Guatemala,94182,3302,82828,8052,16604026
Guinea,10800,67,10161,572,12771246
Guinea-Bissau,2385,40,1728,617,1920922
Guyana,3188,90,1972,1126,782766
Haiti,8827,229,6992,1606,11263077
Honduras,80020,2433,29768,47819,9746117
Hungary,31480,833,8165,22482,9769949
Iceland,2980,10,2300,670,361313
India,6685082,103569,5662490,919023,1366417754
Indonesia,307120,11253,232593,63274,270625568
Iran,475674,27192,392293,56189,82913906
Iraq,382949,9464,312158,61327,39309783
Ireland,38549,1810,23364,13375,4941444
Israel,272309,1757,204355,66197,9053300
Italy,327586,36002,232681,58903,60297396
Jamaica,7012,120,2635,4257,2948279
Japan,86027,1602,78071,6354,126264931
Jordan,17464,110,5292,12062,10101694
Kazakhstan,108296,1725,103367,3204,18513930
Kenya,39449,735,27035,11679,52573973
"Korea, South",24239,422,22083,1734,51709098
Kuwait,107592,628,99549,7415,4207083
Kyrgyzstan,47635,1066,43521,3048,6456900
Laos,23,0,22,1,7169455
Latvia,2126,39,1307,780,1912789
Lebanon,45657,414,20243,25000,6855713
Lesotho,1683,39,926,718,2125268
Liberia,1354,82,1236,36,4937374
Libya,37437,596,22076,14765,6777452
Liechtenstein,127,1,116,10,38019
Lithuania,5285,94,2497,2694,2786844
Luxembourg,8925,127,7793,1005,619896
Madagascar,16570,233,15601,736,26969307
Malawi,5794,180,4541,1073,18628747
Malaysia,12813,137,10340,2336,31949777
Maldives,10567,34,9427,1106,530953
Mali,3189,131,2482,576,19658031
Malta,3327,39,2770,518,502653
Mauritania,7523,162,7204,157,4525696
Mauritius,387,10,357,20,1265711
Mexico,789780,81877,670034,37869,127575529
Moldova,56901,1375,41467,14059,2657637
Monaco,223,2,193,28,38964
Mongolia,315,0,307,8,3225167
Montenegro,12359,182,8308,3869,622137
Morocco,134695,2369,113336,18990,36471769
Mozambique,9296,66,6104,3126,30366036
Namibia,11654,125,9451,2078,2494530
Nepal,89263,554,65202,23507,28608710
Netherlands,141258,6509,4492,130257,17332850
New Zealand,1858,25,1790,43,4917000
Nicaragua,5170,151,2913,2106,6545502
Niger,1200,69,1115,16,23310715
Nigeria,59465,1113,50951,7401,200963599
North Macedonia,18873,760,15487,2626,2083459
Norway,14605,275,11190,3140,5347896
Oman,101814,985,90600,10229,4974986
Pakistan,315727,6523,300616,8588,216565318
Panama,115919,2430,92423,21066,4246439
Papua New Guinea,540,7,527,6,8776109
Paraguay,44715,947,27887,15881,7044636
Peru,828169,32742,706223,89204,32510453
Philippines,324762,5840,273123,45799,108116615
Poland,102080,2659,73552,25869,37970874
Portugal,79885,2018,50454,27413,10269417
Qatar,126692,216,123664,2812,2832067
Romania,137491,5048,108526,23917,19356544
Russia,1219796,21375,978610,219811,144373535
Rwanda,4867,29,3226,1612,12626950
Saint Kitts and Nevis,19,0,17,2,52823
Saint Lucia,27,0,27,0,182790
San Marino,732,42,680,10,33860
Sao Tome and Principe,913,15,888,10,215056
Saudi Arabia,336766,4898,322055,9813,34268528
Senegal,15122,312,12870,1940,16296364
Serbia,33952,756,0,33147,6944975
Seychelles,146,0,143,3,97625
Sierra Leone,2269,72,1706,491,7813215
Singapore,57819,27,57597,195,5703569
Slovakia,13492,55,4865,8572,5454073
Slovenia,6673,156,4265,2103,2087946
Somalia,3745,99,3010,636,15442905
South Africa,682215,17016,615684,49515,58558270
South Sudan,2726,50,1290,1386,11062113
Spain,813412,32225,150376,630811,47076781
Sri Lanka,3513,13,3259,241,21803000
