age,job,marital,housing,loan,contact,day_of_week,duration,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,output,high.ed,season
56,housemaid,married,0,0,telephone,mon,261,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
57,services,married,0,0,telephone,mon,149,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
37,services,married,1,0,telephone,mon,226,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
40,admin.,married,0,0,telephone,mon,151,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
56,services,married,0,1,telephone,mon,307,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
45,services,married,0,0,telephone,mon,198,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
59,admin.,married,0,0,telephone,mon,139,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
24,technician,single,1,0,telephone,mon,380,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
25,services,single,1,0,telephone,mon,50,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
25,services,single,1,0,telephone,mon,222,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
29,blue-collar,single,0,1,telephone,mon,137,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
57,housemaid,divorced,1,0,telephone,mon,293,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,blue-collar,married,1,0,telephone,mon,146,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
54,retired,married,1,1,telephone,mon,174,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,blue-collar,married,1,0,telephone,mon,312,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
46,blue-collar,married,1,1,telephone,mon,440,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
50,blue-collar,married,1,1,telephone,mon,353,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
39,management,single,0,0,telephone,mon,195,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
30,unemployed,married,0,0,telephone,mon,38,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
55,blue-collar,married,1,0,telephone,mon,262,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
55,retired,single,1,0,telephone,mon,342,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
41,technician,single,1,0,telephone,mon,181,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
37,admin.,married,1,0,telephone,mon,172,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,technician,married,0,1,telephone,mon,99,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
