country,population,gdppc,time2business
United Arab Emirates,9.770529,67.1191326374303,3.8
Afghanistan,38.041754,2.0650363978116304,8.5
Antigua and Barbuda,0.097118,21.9101849853005,19
Albania,2.854191,13.965349005815801,4.5
Armenia,2.957731,13.6537495323965,4
Angola,31.825295,6.670332296734861,36
Argentina,44.938712,22.063904372428997,11.5
Austria,8.877067,56.1875840489439,21
Australia,25.364307,49.8540903194763,2
Azerbaijan,10.023318,14.4038504687949,3.5
Bosnia and Herzegovina,3.301,14.912081852797,80
Barbados,0.287025,15.6388298973988,16
Bangladesh,163.046161,4.75372694673667,19.5
Belgium,11.484055,51.9341254632604,5
Burkina Faso,20.321378,2.1783234151007,13
Bulgaria,6.975761,23.173689117498,23
Bahrain,1.641172,45.0107114954419,8.3
Burundi,11.53058,0.7516639571941179,5
Benin,11.801151,3.28730953781495,8.5
Brunei Darussalam,0.433285,62.0995878894925,5.5
Bolivia,11.5131,8.72447570163818,39.5
Brazil,211.049527,14.6516161809346,16.6
"Bahamas, The",0.389482,37.1007439852383,11.5
Bhutan,0.763092,11.8321892646445,12
Botswana,2.303697,17.766538968346403,48
Belarus,9.466856,19.1496378488406,8.5
Belize,0.390353,7.00465815014062,48
Canada,37.589262,49.0313799250897,1.5
"Congo, Dem. Rep.",86.790567,1.09794885276596,7
Central African Republic,4.745185,0.9448680934878659,22
"Congo, Rep.",5.380508,3.67311782715653,49.5
Switzerland,8.574832,68.6278286605641,10
Cote d'Ivoire,25.716544,5.21255604838493,6
Chile,18.952038,24.2261508878998,4
Cameroon,25.87638,3.64227725826763,13.5
China,1397.715,16.1166639313693,8.5
Colombia,50.339443,14.7220460027297,10
Costa Rica,5.047561,19.642405328015,23
Cabo Verde,0.549935,7.17183946474377,9
Cyprus,1.198575,39.544681847175404,6
Czech Republic,10.669709,40.8622146261472,24.5
Germany,83.132799,53.9191394901849,8
Djibouti,0.97356,5.53474911628841,14
Denmark,5.818553,57.80397423674199,3.5
Dominica,0.071808,11.9170801953898,12
Dominican Republic,10.738958,18.4128982735815,16.5
Algeria,43.053054,11.5105570882503,18
Ecuador,17.373662,11.375331184329099,48.5
Estonia,1.32659,36.9270588646496,3.5
"Egypt, Arab Rep.",100.388073,11.7632536364885,12.5
Spain,47.076781,40.9028851584625,12.5
Ethiopia,112.07873,2.22140460506946,32
Finland,5.520314,48.668007871167696,13
Fiji,0.889953,13.6843915602843,40
France,67.059887,46.183521775787305,4
Gabon,2.172579,14.9500701972307,10
United Kingdom,66.834405,46.6585453933285,4.5
Grenada,0.112003,17.038894462829898,12
Georgia,3.720382,14.9922298135291,1
Ghana,30.417856,5.41262812169616,13
"Gambia, The",2.347706,2.22287012182881,8
Guinea,12.771246,2.56208292073759,15
Equatorial Guinea,1.355986,18.5580038515413,33
Greece,10.716322,29.798878651845897,4
Guatemala,16.604026,8.63746416535689,15
Guinea-Bissau,1.920922,1.98936714098892,8.5
Guyana,0.782766,13.0823530350192,18
Honduras,9.746117,5.72797357227863,42
Croatia,4.0675,28.602144800177097,19.5
Haiti,11.263077,2.90543908128766,97
Hungary,9.769949,32.944846444113395,7
Indonesia,270.625568,11.8121976430751,12.6
Ireland,4.941444,86.7813902193817,11
Israel,9.0533,40.1454694629203,11
India,1366.417754,6.70006222490888,17.5
Iraq,39.309783,10.881172086253,26.5
"Iran, Islamic Rep.",82.913906,12.389221585267,72.5
Iceland,0.361313,55.8739505778477,11.5
Italy,60.297396,42.4916422301466,11
Jamaica,2.948279,9.76149852210528,3
Jordan,10.101694,10.0713828657652,12.5
Japan,126.264931,41.4292875264758,11.1
Kenya,52.573973,4.32987138968635,23
Kyrgyz Republic,6.4569,5.253097477881299,10
Cambodia,16.486542,4.38880090863251,99
Kiribati,0.117606,2.27191343813957,31
Comoros,0.850886,3.0595097045952597,16
St. Kitts and Nevis,0.052834,26.438178708913203,18.5
"Korea, Rep.",51.709098,42.7645264237716,8
Kuwait,4.207083,49.8535764498199,19.4
Kazakhstan,18.51393,26.3514386408766,5
Lao PDR,7.169455,7.82638859494114,173
